Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
80000;	75 0.0881462 0.0828869;	69 0.0881462 0.0924606;	75 0.0881466 0.0828869;	68 0.0881571 0.0829903;	69 0.0881572 0.0828869;	68 0.0881626 0.0828869;	68 0.0881653 0.0829903;	
82500;	70 0.0881448 0.0832475;	69 0.0881448 0.0926393;	68 0.0881449 0.0924608;	69 0.0881453 0.0924608;	66 0.0881462 0.0828898;	67 0.0881466 0.0828898;	68 0.0881516 0.0829933;	
85000;	74 0.0877906 0.0845234;	73 0.0877863 0.0908456;	75 0.0877881 0.0911918;	73 0.0877888 0.093399;	76 0.0877901 0.0915075;	73 0.0877906 0.0938007;	77 0.0877933 0.0938128;	
87500;	74 0.0877863 0.0839184;	67 0.0877863 0.0933894;	67 0.087787 0.0933894;	68 0.0877881 0.0933894;	66 0.0877888 0.0933894;	68 0.0877901 0.0839184;	69 0.0877906 0.0839184;	
90000;	74 0.0877863 0.0839184;	67 0.0877863 0.0933894;	66 0.087787 0.0933894;	66 0.0877881 0.0933894;	65 0.0877888 0.0933894;	66 0.0877901 0.0908456;	67 0.0877906 0.0933894;	
92500;	69 0.0877858 0.0839191;	68 0.0877858 0.0933899;	67 0.0877863 0.0933894;	67 0.0877868 0.0933894;	66 0.087787 0.0933894;	67 0.0877876 0.0933899;	66 0.0877881 0.0933894;	
95000;	69 0.0877858 0.0839191;	67 0.0877858 0.0933899;	66 0.0877863 0.0933899;	66 0.0877868 0.0933899;	65 0.087787 0.0933899;	66 0.0877876 0.0933899;	65 0.0877881 0.0933899;	
97500;	69 0.0877858 0.0839191;	67 0.0877858 0.0933899;	66 0.0877863 0.0933899;	66 0.0877868 0.0933899;	65 0.087787 0.0933899;	66 0.0877876 0.0933899;	65 0.0877881 0.0933899;	
100000;	68 0.0877719 0.0844991;	66 0.0877719 0.0938478;	67 0.0877719 0.0940166;	68 0.0877721 0.0934374;	67 0.0877724 0.0938517;	68 0.0877725 0.0934374;	67 0.0877726 0.0934369;	
102500;	68 0.0877665 0.0844402;	65 0.0877665 0.0939881;	66 0.0877666 0.0938263;	66 0.0877671 0.0938271;	67 0.0877672 0.0938263;	67 0.0877689 0.0939881;	66 0.0877693 0.0938263;	
105000;	69 0.0877206 0.0835293;	67 0.0877206 0.0935106;	65 0.0877209 0.0931702;	66 0.0877213 0.0935106;	68 0.0877214 0.0935009;	64 0.0877216 0.0931702;	66 0.0877217 0.0935106;	
107500;	69 0.0877206 0.0835293;	67 0.0877206 0.0935106;	65 0.0877209 0.0931702;	66 0.0877213 0.0935106;	68 0.0877214 0.0935009;	64 0.0877216 0.0931702;	66 0.0877217 0.0935106;	
110000;	70 0.0877043 0.0835026;	68 0.0877043 0.0935459;	68 0.0877044 0.0935459;	66 0.0877046 0.0935459;	66 0.0877047 0.0932038;	67 0.0877051 0.0935459;	69 0.0877051 0.0935459;	
112500;	70 0.0877043 0.0835026;	68 0.0877043 0.0935459;	68 0.0877044 0.0935459;	66 0.0877046 0.0935459;	66 0.0877047 0.0932038;	67 0.0877051 0.0935459;	69 0.0877051 0.0935459;	
115000;	69 0.0876951 0.083448;	68 0.0876951 0.0935028;	68 0.0876951 0.0935028;	66 0.0876953 0.0935459;	66 0.0876954 0.0837867;	69 0.0876956 0.0935028;	69 0.0876956 0.0935028;	
117500;	69 0.0876951 0.083448;	67 0.0876951 0.0935028;	67 0.0876951 0.0935028;	66 0.0876953 0.0935459;	66 0.0876954 0.0837867;	68 0.0876956 0.0935028;	68 0.0876956 0.0837867;	
120000;	69 0.0876951 0.083448;	67 0.0876951 0.0935028;	67 0.0876951 0.0935028;	66 0.0876953 0.0935459;	66 0.0876954 0.0837867;	68 0.0876956 0.0935028;	68 0.0876956 0.0837867;	
