Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
82500;	59 0.140343 0.136762;	69 0.138073 0.202879;	59 0.140343 0.136762;	65 0.145007 1.#INF;	67 0.148211 1.#INF;	65 0.149231 1.#INF;	66 0.1504 1.#INF;	
85000;	59 0.140343 0.136762;	73 0.123279 0.187169;	68 0.124077 0.191911;	70 0.126287 0.192569;	70 0.12654 0.196671;	71 0.127512 0.193447;	70 0.128115 0.202989;	
87500;	59 0.140343 0.136762;	69 0.122636 0.187169;	65 0.123279 0.187169;	68 0.123432 0.191911;	63 0.124077 0.191911;	69 0.124305 0.187169;	67 0.12504 0.191225;	
90000;	59 0.140343 0.136762;	66 0.121993 0.187169;	62 0.122576 0.187169;	61 0.122636 0.187169;	70 0.122728 0.187169;	66 0.122787 0.191911;	68 0.122829 0.187169;	
92500;	59 0.140343 0.136762;	66 0.121089 0.189882;	66 0.121339 0.189089;	68 0.1216 0.189898;	65 0.121636 0.186824;	64 0.121671 0.189751;	69 0.121713 0.18925;	
95000;	59 0.140343 0.136762;	70 0.119327 0.189391;	72 0.120581 0.189983;	69 0.120766 0.185458;	69 0.120868 0.188068;	68 0.120906 0.186509;	68 0.120951 0.187339;	
97500;	59 0.140343 0.136762;	74 0.11791 0.187868;	73 0.118296 0.188736;	66 0.11836 0.187527;	70 0.118448 0.188426;	69 0.118448 0.187693;	68 0.118468 0.189603;	
100000;	59 0.140343 0.136762;	59 0.140343 0.136762;	121 0.22936 1.#INF;	76 0.354127 1.#INF;	121 0.354394 1.#INF;	124 0.356222 1.#INF;	120 0.357823 1.#INF;	
102500;	63 0.139843 0.139379;	63 0.139843 0.139379;	59 0.140343 0.136762;	64 0.142098 1.#INF;	64 0.143205 1.#INF;	63 0.147424 1.#INF;	65 0.152097 1.#INF;	
105000;	63 0.139843 0.139379;	67 0.12654 0.196671;	70 0.127512 0.193447;	76 0.12927 0.197712;	75 0.129737 0.198226;	81 0.131556 0.197492;	76 0.131879 0.200369;	
107500;	63 0.139843 0.139379;	74 0.121065 0.187794;	73 0.121506 0.192408;	69 0.121823 0.189029;	68 0.12207 0.194581;	69 0.122704 0.190515;	67 0.123037 0.194175;	
110000;	63 0.139843 0.139379;	72 0.120827 0.188204;	71 0.121065 0.187794;	70 0.1211 0.188827;	74 0.121158 0.189196;	73 0.121244 0.187584;	72 0.121339 0.189376;	
112500;	63 0.139843 0.139379;	73 0.120296 0.189026;	76 0.120305 0.189028;	74 0.120317 0.189099;	78 0.120339 0.187532;	74 0.12043 0.189326;	74 0.120442 0.189521;	
115000;	75 0.125273 0.135249;	74 0.118803 0.186638;	72 0.119204 0.187141;	74 0.119205 0.187142;	72 0.119362 0.188338;	72 0.119489 0.188559;	71 0.11949 0.18856;	
117500;	75 0.125273 0.135249;	74 0.11763 0.186632;	71 0.117696 0.186929;	71 0.117767 0.187003;	72 0.117768 0.187386;	70 0.117772 0.187172;	73 0.117804 0.186983;	
120000;	75 0.125273 0.135249;	71 0.117501 0.186586;	70 0.117521 0.186957;	69 0.117521 0.186957;	70 0.11753 0.186692;	70 0.11753 0.186692;	72 0.117578 0.186512;	
122500;	75 0.125273 0.135249;	67 0.117501 0.186586;	68 0.117502 0.186586;	65 0.117521 0.186957;	65 0.117521 0.186957;	65 0.11753 0.186692;	65 0.11753 0.186692;	
125000;	75 0.125273 0.135249;	64 0.117303 0.186743;	69 0.117303 0.186743;	74 0.117303 0.186744;	66 0.117336 0.186994;	67 0.117336 0.186994;	68 0.117336 0.186995;	
127500;	75 0.125273 0.135249;	68 0.115284 0.187205;	66 0.115284 0.187205;	66 0.115397 0.18727;	68 0.115763 0.187944;	68 0.115788 0.18643;	68 0.115794 0.187359;	
130000;	75 0.125273 0.135249;	66 0.11392 0.185287;	64 0.113967 0.185377;	66 0.113967 0.185377;	65 0.113967 0.185377;	68 0.113967 0.185377;	64 0.114039 0.184951;	
132500;	75 0.125273 0.135249;	64 0.113862 0.184885;	68 0.113863 0.184885;	64 0.113863 0.184886;	65 0.113863 0.184886;	64 0.113863 0.184886;	69 0.113872 0.184879;	
135000;	75 0.125273 0.135249;	75 0.125273 0.135249;	80 0.150987 0.184867;	79 0.177993 0.184867;	82 0.183621 0.184867;	98 0.203377 0.184867;	102 0.20672 0.184867;	
137500;	75 0.125273 0.135249;	75 0.125273 0.135249;	77 0.125653 0.184867;	75 0.126587 0.184867;	77 0.126604 0.184867;	74 0.126661 0.184867;	77 0.128167 0.184867;	
140000;	75 0.125273 0.135249;	83 0.120297 0.188827;	79 0.120771 0.188204;	79 0.120776 0.189289;	84 0.120778 0.18887;	82 0.120788 0.188899;	80 0.120795 0.188408;	
142500;	75 0.125273 0.135249;	78 0.119938 0.188684;	82 0.119947 0.188405;	78 0.11998 0.187866;	83 0.119991 0.188241;	82 0.119991 0.188243;	77 0.120006 0.188697;	
145000;	75 0.125273 0.135249;	82 0.118916 0.187932;	83 0.11919 0.187247;	82 0.119372 0.187101;	85 0.119423 0.189758;	83 0.119438 0.189198;	83 0.119438 0.189192;	
147500;	75 0.125273 0.135249;	80 0.118245 0.185409;	83 0.118252 0.18498;	85 0.118306 0.18765;	81 0.118373 0.187906;	82 0.118916 0.187932;	82 0.118942 0.188223;	
150000;	75 0.125273 0.135249;	90 0.115232 0.188199;	87 0.115851 0.186931;	87 0.116123 0.187762;	86 0.116736 0.186742;	86 0.116835 0.187403;	86 0.11686 0.188282;	
152500;	75 0.125273 0.135249;	84 0.115232 0.188199;	88 0.115732 0.186347;	82 0.115851 0.187215;	85 0.115951 0.187316;	81 0.116034 0.186829;	81 0.116123 0.187762;	
155000;	75 0.125273 0.135249;	75 0.125273 0.135249;	81 0.199471 0.188241;	81 0.202297 0.188241;	109 0.205639 0.188241;	87 0.207553 0.188241;	81 0.207949 0.188241;	
157500;	75 0.125273 0.135249;	75 0.125273 0.135249;	77 0.125874 0.188241;	76 0.126448 0.188241;	78 0.126642 0.188241;	79 0.128552 0.188241;	74 0.128994 0.188241;	
160000;	75 0.125273 0.135249;	81 0.120827 0.188204;	81 0.120995 0.187729;	84 0.12129 0.190018;	80 0.121311 0.190571;	81 0.121379 0.190249;	83 0.121379 0.190094;	
162500;	75 0.125273 0.135249;	82 0.119875 0.190374;	77 0.120553 0.18622;	79 0.120585 0.190562;	81 0.120591 0.191888;	82 0.120664 0.189362;	80 0.12067 0.191263;	
165000;	75 0.125273 0.135249;	83 0.117744 0.18809;	83 0.11791 0.188072;	80 0.118035 0.187406;	84 0.118211 0.187888;	79 0.118414 0.1904;	79 0.118414 0.190609;	
167500;	75 0.125273 0.135249;	82 0.116747 0.188939;	86 0.116802 0.188295;	85 0.11683 0.188033;	85 0.116867 0.187923;	81 0.116872 0.188278;	85 0.116915 0.187469;	
170000;	75 0.125273 0.135249;	84 0.116068 0.187782;	85 0.116178 0.186875;	82 0.116199 0.188119;	83 0.116206 0.188097;	85 0.116213 0.187294;	83 0.116218 0.186838;	
172500;	75 0.125273 0.135249;	87 0.110668 0.180949;	87 0.110716 0.186745;	86 0.110996 0.186929;	89 0.111462 0.188864;	90 0.111588 0.188575;	82 0.112095 0.185297;	
175000;	75 0.125273 0.135249;	75 0.125273 0.135249;	88 0.169339 1.#INF;	80 0.19363 1.#INF;	80 0.194271 1.#INF;	78 0.200926 1.#INF;	77 0.201986 1.#INF;	
